keyword,location,text
destroyed,"San Antonio, TX",I've only had to make that decision once and it almost destroyed me. I couldn't get another dog for over 3 years. https://t.co/0z6Pd69Zw2
death,,"#mondaythoughts Have you ever thought about death? In Hong Kong, if you choose to fight for freedom, rights and justic…"
typhoon,old town road,"A lot of people in Tacloban died during Typhoon Yolanda because they didn't know what a ""storm surge"" was. It doesn't m…"
crashed,England,Meteorite that crashed in 1969 found to contain 'most ancient matter on Earth' https://t.co/phPrIy3au8
cliff%20fall,"Bonaire, GA",fuck it I’m not a bad person idk 😐 if you can’t see it just going to do me nothing really matter anyways most of y’… https://t.co/cMjQtXmd95
cliff%20fall,"Retford, England",21-year-old British woman Madalyn Davis dies in Sydney cliff fall https://t.co/rMYKBDKxcf
blood,,We’re tired of the same old zombies. Time for new blood!
violent%20storm,Hyderabad | Dubai,"""The violent the storm, the quicker it passes"" https://t.co/MyfDXwKh85"
fear,"Edmond, OK","If you are afraid people are taking advantage of you, you can’t afford your own generosity. This is a bitch ass fear.…"
blown%20up,New york,"‘Bloodshot’ Trailer Tomorrow, Crazy Violent Teaser Today! [Video] The first Bloodshot teaser was absolutely bonker… https://t.co/MxTgIpq6yO"
rubble,United States,"US base attack: ""Iran was keen that both the Americans and Iraqis be aware of the strikes before they occurred.""… https://t.co/5WuHjcZIkb"
refugees,,"BASICS: - #CAA not the only law relating to refugees/citizenship. - It's an amendment to Citizenship Act, 1955 giving…"
traumatised,,"A Complete Stranger Was Filming Raging, Repeatedly Saying; ""Thier Breaking The #Law Police St… https://t.co/KwoehvrOw6"
riot,,I'm so excited for these scenes later. How will Billy turn on the charm and entice Gabo? Riot siguro ang shoot nito. Asa…
casualties,Somalia,#AlShabaab fighters attack #Kenya military base at Qoqani village in #Somalia's Lower Jubba region overnight. Fierc… https://t.co/FD2lULO1Rs
catastrophic,∞,That's adorable Bob - please keep sharing these little ditties with us appreciative chaps whilst ignor…
derailed,,Apparently a freight train has derailed at Hitchin. Amateurs.
mudslide,UP Diliman,acid rain and mudslide found dead in a ditch
dead,Australia,"For reference, the last time a random parcel was dumped outside my flat it contained a dead rat (my neighbour mixed up my d…"
detonate,,ive had galaxy genius brain moment for new healer job listen ok GUN. HEALER. you shoot tranq darts full of potion into u…
crash,"London, England",It is now timely to make all the profits possible before a fiscal crash this is an excellent encouraging tip https://t.co/ICsETX1Six
flattened,"Pennsylvania, USA",Samoa joe just got flattened #raw
ruin,,"If you really need to change something change it. And if that’s bad, ruin whatever needs to be changed so you can’t go back t…"
trauma,"Merveilles, Mexico",And I can't even remember the childhood trauma that scarred me into believing I'm worth only by the measure of how… https://t.co/tLehVqZiz1
demolished,Lincs/Leics,"Great pod as ever. As for pubs, there was the “Battle of Britain” in Gravesend/Northflee… https://t.co/zNQztHLxX4"
storm,,News: Yellow weather warning for wind in Essex as Storm Brendan sweeps in https://t.co/HkYx5W0ech
attack,,"Tumne Beta Mumbai attack ke Baad JHA2 kabara tha,kya? Tum sirf saboot mango. https://t.co/ek6VWvmBpz"
crush,"Victoria Island, Nigeria","Please enough of sex talks, Kings ask one question from the Bible, any lady that gets it right will be your crush 😆😁😃 ."
screaming,"Scottsdale, AZ",I’M SCREAMING 😂😂😂 https://t.co/y0TF2t0ucG
blight,So😊FBCharlesVPayne&Roseanne🌹,Modern Windmill Farms are a blight on the earth &amp; the air. Horrid.
fatalities,✝️🇺🇸,Unconscionable Doesn't anyone think it is time to bring in the National Guard or should they just let the gun shot injur…
survived,Nazreen,"Total of almost 8 hours at the hospital early this morning, with the died phone's battery, freezing temperature, no… https://t.co/wdQARxta2u"
mudslide,bottom of the sea,ez acid rain and mudslide https://t.co/zZggQN5ar1
violent%20storm,"Fort Lauderdale, FL","God shows up in discomfort (the fiery furnace in Daniel, a burning thorn bush in Exodus,… https://t.co/AS9XcgxnBv"
rioting,,You mean like in France where they just had rioting in the streets because people could… https://t.co/eu4fd1AFlx
terrorist,,Diplomatic malpractice? UK is parroting US line &amp; blindly abetting its terrorist adventurism in our region The last time UK w…
hijack,"Kisumu, Kenya","“Raila has hijacked the BBI process” Now, how do you hijack what you started?"
mass%20murder,"West Roxbury, Boston",Oh look the Justice Dept. is helping oil companies shake off climate lawsuits so our government is now officially an acc…
sinkhole,"Puerto Rico, USA","China sinkhole: Six killed as ground swallows bus, killing six https://t.co/D0gKf2ZziP"
hostages,,"seems we are Metrorail's hostages, been on a stop go train for 2hours"
airplane%20accident,,Grover Airplane Accident Doctor
electrocute,an inexplicable though,"Okay yeah, I still believe in basic human rights. I wouldnt wanna electrocute them or anything. But I h… https://t.co/xrjQQsTU69"
attack,Larrakia,"RT #FightExtremism ""The Taliban have claimed responsibility for a roadside bomb attack in Kandahar that killed two… https://t.co/7Ym9WSGKQp"
annihilated,USA,A devastating and thorough refutation of and Ned Flanders' stream where they annihilated orthodox… https://t.co/8XLX0crbUa
smoke,"Bury St Edmunds, Suffolk. UK","A friend started timing smokers in her new york office, the time they left desk, took lift to outside, building, sm… https://t.co/35imYcQsCt"
military,,One thing that warlord actual at DARC and I definitely agree on is that there are a lot of simps in the gun/military w…
weapons,,"Facts: Elizabeth Warren is committed to “taking, taxing, and regulating” guns in America She is also committed to re-j…"
razed,"California, USA",It’s hard to memorialize something that was razed to the ground. The presence of brown community emanated to Pioneer Sq…
refugees,"New Delhi, India","Granting muslims citizenship too is good idea which would cost us more but Hindus, Sikhs and more mino… https://t.co/uzyHYkSy5M"
violent%20storm,"Melbourne, Australia",Machete-wielding teens storm bottle shop in violent armed robbery https://t.co/gUWNr2qev7
traumatised,Namibia,"Poor couple, must be traumatised 😂😂😂"
inundated,,Good luck mate. Been asking the same question a lot. I have not been exactly inundated with replies.
sirens,UK,Update from the Vicar - they’ve managed to get a local roofer to put temporary covers on - thanks for people’s concern…
fatality,"Ft. Lauderdale, FL","Pedestrian accidents are a problem in #Florida, 1 of the highest #pedestrian fatality rates in the US.… https://t.co/b5Q9lG1RnW"
sinkhole,,"BREAKING: Huge sinkhole swallows bus in northwest #China; at least 6 dead, 16 injured, and 4 missing https://t.co/jHp…"
epicentre,ddmlmdlgmlmlpgacclgcllc.gc,This means the only way i can describe my policy and theory is through uncountable number of absurd hyperprecise ar… https://t.co/WGjHU3iNIL
hail,Respect Hezbollah,The #MEK are inserting their people into the #IranProtests2020 in an attempt to hijack the protests. Here is one woman trying t…
stretcher,,The length of the stretcher may vary from 1-4 inches.
burned,Islamic Republic of Iran,Stanley Kubrick laughing on the burned-down set of The Shining https://t.co/GwbP3vbesy
sandstorm,,the meme is dead but Sandstorm is a bit of a banger
destroy,"Tennessee, USA","Yea, the good old days before we the people allowed the left to dest… https://t.co/ReVCdNVFyv"
drown,Planet Earth,SIGN: Justice for Dog Tied to Rock and Dumped in River to Drown https://t.co/bnfBDUphsq
danger,"Wilmington, DE",It comes as no surprise that Bernie Sanders would defend a failed socialist leader in South America. Last year it was…
destroy,,45 year high unemployment + 6 year high retail inflation + 60% vegetable inflation rate + high fuel prices + rising pr…
evacuation,hpb • kdkn • glam • pmmr  • ef,here's the list of the evacuation centers in Batangas for the victims of the Taal Volcano Eruption. Please send your help t…
rescuers,"Manila, PH","Sen Sotto I was also hoping for the rain to flush out the ashes, but then I realized it will cause so much mud that… https://t.co/M2wuXaJ46h"
ruin,Dallas,RSCL apathy delays Brahmani project - The New Indian Express https://t.co/clENSAy75s need your inte… https://t.co/4Lh8tKYTIh
natural%20disaster,"Maywood, Ca.","I love this deep dive on rust! It includes details on the annual rust-fighting conference ""MegaRust"" and one man's asse…"
harm,Ateneo de cagayan,I’ve been seeing posts about Taal Volcano eruption but this one caught my attention. CAN THESE PEOPLE BE GIVEN BETTER…
inundation,"Lawrence, Kansas, USA",Flash Flood Warnings remain in effect for Hawaii County &amp; Maui County in #Hawaii. Some higher elevations on the Big Islan…
eyewitness,Orlando,#kimmel TONIGHT: #ZachWoods and music by at 11:35 on #wftv right after Eyewitness News at… https://t.co/IEm8YqA5zp
sinking,,he's sinking in quick sand https://t.co/rSKok5fDeH
violent%20storm,United States,"Just as a monster hurricane slowly approaches, the outer rain-bands often contain violent winds or even tornadoes.… https://t.co/YuH4bZBqoK"
sinkhole,"Dallas,Texas",6 killed in China after massive EXPLODING sinkhole swallows bus as passengers board (PHOTOS &amp; VIDEO) https://t.co/GZgJlYCBx0 h…
derailed,"Lagos, Nigeria","Welcome back Marketa Vondrousova. The 20yo Roland Garros finalist wins in her 1st match since Wimbledon, 63 60 over Tatian…"
crashed,,THE WAY IT JUST CUTS OFF WHEN THEY ALMOST CRASHED INTO THE TREE I CANTJFJDJD THIS SENDS https://t.co/TLtII8XWbL
drowning,M.I.A,Remember the kid in pursuit of happiness movie when he made a joke abt the guy who was drowning in the oce…
displaced,sudan,"Over 46, 377 people displaced (9,463 households) in #ElGeneina, West #Darfur according to the latest estimated figures of DTM…"
nuclear%20reactor,"Apeldoorn, Nederland","Renewables are cheaper and faster. It takes decades to build a nuclear reactor, and billions of investme…"
sinkhole,Hong Kong,#China A bus fell into a suddenly developed sinkhole when passengers were boarding the bus at the bus stop. Explosions an…
lightning,"Warwickshire, England","Some manufacturers have done it: notably Energica, Lightning, Harley Davidson, using CCS… https://t.co/8JZulTQZXY"
panicking,,into getting pho instead of settling for other expensive upper manhattan places :] so we got pho and i was panickin… https://t.co/jF5bCVe0ay
quarantine,,I think I saw somebody mention she's at some weird fundy-run hospital. So like... way to quarantine… https://t.co/YvVms2gjmY
evacuate,Nigeria,"The Taal Volcano — near Manila, the capital of the Philippines — has erupted, forcing residents to evacuate as experts warn that a…"
survive,,『 Who's the killer? 』 »do you want to play a game? its just simple just play your role and survive. »a st hosts horror au »…
death,"New York, NY","“I been here since 4:30 something for shortness of breath, and chest pains for them to just say it’s a two to SIX hour wait to…"
ruin,thicc with 5C's,Kara Walker's “The Jubilant Martyrs of Obsolescence and Ruin” is brilliant. One of the art installations I've seen. https://t.co/gAme2YEV2Y
deaths,,... &amp; it's these very people that should be blaming THEMSELVES for the mess we're in. You stupid STUPID people put the LNP…
hostages,Ethiopia,In early December between 17-27 students fleeing violence at their campus were kidnapped while aboard busses…
wreck,Here,It has to be and Experienced and she’s the Tiger we need beside h…
bombing,"Ngarabal land, Australia","I'm no expert, Anna. But seems to me we might've had a better chance w/ water bombing aircraft than a… https://t.co/lM1hCBaTWR"
destruction,"Da internet, more exact Roblox",I had 20 of the old wings😢i will miss them alot! here is also two pictures of two of the classic Royal High wings!… https://t.co/VKaLSPrDrK
engulfed,"LOONA, Fromis_9, SATURDAY","It can happen anytime, anyplace. Engulfed by your own silhouette. They will never find a trace, swallowed up in a moment…"
blood,,Myghaad!! Who needs blood transfusion?? DM me https://t.co/xQxxXZnCFK
sinkhole,,"Enormous sinkhole swallows bus and passengers in China, killing at least 6 people https://t.co/YarTc87r0v"
crash,s-Gravenhage,Arrestaties in Iran in verband met crash Boeing https://t.co/FkfMJyCILs
destruction,"Recife, Brasil","Bear witness to his destruction. West Coast, #CrisisOnInfiniteEarths starts now on The CW! https://t.co/03ekiK7d1o"
razed,,"I was raised in a charismatic church. From the time I was young, I was taught to fear a non-existent enemy. From ""R…"
tsunami,Mediterráneo,Tsunami Puigdemont vía https://t.co/1Q6UTl9kdL
crash,,Iran says some people arrested for their role in Ukrainian plane crash https://t.co/bXTQj2pvIx
hurricane,,Really...!?! The Rock 😳 Remember the “Rock” Played for Coach O during his Miami Hurricane Days. A lot folks are asking Why/H…
destroyed,,Government set to revise total number of hectares destroyed during bushfire season to 17 million after millions of hectar…
survive,"Tanjong Dua Belas, Selangor",Please Know PTSD. We are not trying to be difficult. Just trying to survive in our own minds. https://t.co/8E8DfXjYfi
demolish,Bath,A new year’s resolution for architects: never demolish https://t.co/Xt5Eji7Djg
suicide%20bomber,"Orange County, The Communist State of NY","Suspected Suicide Bomber Headed Toward America, Likely to Come to This State - Tedium Media https://t.co/rLODRHThaB"
catastrophic,,Right-wing Prime Minister Scott Morrison came to power in Australia tapping into a wellspring of resentment and touting his…
sandstorm,,How soon can South Carolina replace Sandstorm with something half as fun as Neck? Bring the Swag back.
suicide%20bombing,World citizen,"Let's not deviate from subject. Not suicide bombing, not abortion but 'martyrdom'."
body%20bagging,"Las Vegas, NV               ","I don't mind being your enemy if you're an enemy of mine. Remember, I'm gone match any and all energy and don't mind tak…"
screamed,India,The faltered memory of a haunted past screamed in my head through the silence. But you kissed me until the pain cease to exist…
wildfire,"England, United Kingdom",A rescue operation organized by a local family on Kangaroo Island transported injured koalas from areas devastated by bushfires. T…
suicide%20bomb,London,"“What I am good at is exposing the current situation that we find ourselves in. It’s almost like a suicide bomb"": https://t.co/9uPG84AEvr"
wreckage,,Visit the wreckage? Wasn’t it bulldozed from the site? Wasn’t the evidence tampered with? Above and beyond?…
engulfed,"Fremont Street, Des Moines",DMRegister: RT TDavisDMR: A man is believed to have ended a daylong standoff with police by setting fire to his own… https://t.co/kF9xI1DQSR
thunderstorm,"Raleigh, NC",I feel like a walk in this thunderstorm would hit different but imma stay in this bed
flattened,"California, USA",Well both! We don't him all flattened out do we.
stretcher,i: splendor,he looks like he was put through the taffy stretcher
sirens,UK,"I really thought we had seen some of the worse of him, but every day he surprises me with his ineptitude and inability to…"
airplane%20accident,Ontario,airplane accident answers. The US designated the Iranian government as terrorists and ha… https://t.co/7a2OgPYNiQ
injured,"England, United Kingdom","🇮🇷 Iran protests in past two months: 1,500 protesters killed by regime 4,800 Injured 7,000 arrested 🇺🇳 Reaction from U.N.…"
blood,,I have O- blood type. If I make a trip there from the US will Malta accept it? It won’t be an imme… https://t.co/nT4Ql4u1Z1
outbreak,,First death from China mystery illness outbreak - The Guardian https://t.co/nxttI0VMOl https://t.co/ls5wdMtYRv
collision,"Los Angeles, CA",Central LA Us101 S / N Vermont Ave **Trfc Collision-Unkn Inj** https://t.co/vyRHnE1pYw
sirens,,"Come out to my small corner of regional Victoria, Andrew - come on - call the people out her…"
epicentre,Malaysia,"Hiring for Account Assistant (SPM with 1 year working experience) Salary RM1,600 📍KL +Staff purchase discount +Annual Di…"
rescued,Fairbanks AK,Toddler rescued after parents’ car stolen from Texas gas station; 4 arrested https://t.co/NhNflR9M8j
ambulance,,Timely action during accidents can save someone's life. If you find someone with injury then call for an ambulance… https://t.co/9PPTiJUJpN
epicentre,India,"While visiting Jawaharlal Nehru University (JNU), the new epicentre for violent protests in the country, Congress M… https://t.co/IOpIZTcDgj"
electrocuted,,Lawyer who gave aid to anti-CAA protestors electrocuted by UP cops https://t.co/4CbxY3dh58
seismic,,Eruption update 1pm Lava fountains reached up to 800-m New fissures or cracks observed in various towns Intense seismic…
injured,"Ranchi, India",Delhi: A delegation of top human rights body will interact with Jamia students injured in the December 15 violence. More on htt…
pandemonium,"Galveston, TX",https://t.co/umNjj85Cjp
apocalypse,at home,It really is not a nice night outside any moment now I expect the four riders of the apocalypse to arrive 🥳 https://t.…
derailed,"Lowca, Cumbria (in spirit)",Got into work to learn that #Hitchin is trending in England. Only to learn it's about the train that was derailed i… https://t.co/7N715jB6JR
survive,,I wonder what its like to survive a standby 🤔🙄
bombed,City Of Angels,NATO 'Bombed' Libya's Statehood - Russian Foreign Minister Lavrov: https://t.co/k7ozUwN7sy via
blew%20up,"Nairobi,Kenya",Well this blew up. Peep my followers 😭😭...I'd say follow for more content but with great numbers comes with great t… https://t.co/SUysaWMPiO
refugees,,"Descendants of Islamists in India who demanded Pakistan but chose to remain here, now oppose providing citizenship to desc…"
bombed,"Hamilton, Scotland",I’ve yet to see condemnation from of these banners and video of the organiser of thi…
rescuers,"Gippsland Victoria, Australia",Rescuers cry when they hear the Koalas calling for help. Please my God have mercy on them. Pray for Australia 🙏 #PrayForA…
deluge,L'île inconnue,"Guess 2012 was on the cuspm of #DeleteFacebook after that, came the deluge. of twits"
screamed,Oregon,These MATH Macarons are so cute I screamed 😭🧢🐼 #HAPPYBIRTHDAYANDREWYANG #NationalCookieDay #YangCookieDay #macarons #MakeAmer…
upheaval,,Schools should brace for five years of upheaval from a triumphant party with Gove at its heart https://t.co/kAQp5SQE9S
threat,"Milton Keynes, England","So far, this #RAW imo has been very entertaining, the Triple Threat was 🔥🔥🔥, and #BrockLesnar and #rtruth segment was f*ckin…"
suicide%20bomber,"California, USA",Mexican Border City on High Alert Over Jihad ‘Suicide Bomber’ Threat: Four four nationals of Iran. Democrats and jihad gr…
heat%20wave,Living in the Lyattverse,"talking heat wave, today’s high was 81 here 😆"
hailstorm,,Love seeing Air Gear on the TL https://t.co/u6I4RJrh3V
airplane%20accident,Florida,So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYONE really believe that?!!! 😡😡😡😡
casualty,"San Francisco, CA",Count is 80+ Sir and surprisingly no Pak Army casualty??
destroy,she/her,one of my best friends finally leaving a dude who has been nothing but bullshit toxic so natch he's decided to be a… https://t.co/aT5VinKZqe
traumatised,United States,It has 3 seasons if I'm correct! It's not bad honestly and if you want to watch it without… https://t.co/lF5g1u1wV7
collided,"Moe's Tavern, Springfield",Homer is driving drunk😱 and has collided with a thumbs up 👍🏽
fatality,"Greater Accra, Ghana",😂😂😂😂😂 fatality...
evacuation,,I sincerely hope that the people will heed to the call of PHIVOLCS and the LGUs regarding evacuation and other measures.…
desolation,Indiana,Your work of Pipenger is DESOLATION
sunk,herts UK,Sunk our Gallion :-(
arsonist,,"Trump is simply a political arsonist. He requires crisis and chaos to survive. If there is no crisis, he…"
storm,"Lanark, Scotland ",Storm Brendan hitting Glasgow hard https://t.co/4vieIN0XJ3
bridge%20collapse,"Los Angeles, CA",Sorry but our whole system needs a reset. There’s way to much corruption across the board. Trump is a… https://t.co/CFLZMHpb6j
ambulance,Republic of Ireland.,Fire Engulfs Ambulance Conveying Corpse of Catholic Priest’s Mother; #streetjournal https://t.co/gK6dAGKRrL
blazing,Nancyezeoke@yahoo.com,Happy Birthday sir 🥳🥳 You are indeed a star in the Nursing community⭐️ Keep blazing high https://t.co/iajdTlSNZw
wounds,"Washington, DC",situations i’ll never speak on because i don’t want to open old wounds
injuries,,"Let’s be honest, if it weren’t for injuries. would be one of the greatest of all time, no 🧢 https://t.co/oR9hw…"
eyewitness,,"Interesting take, Pastor John. I take it you are saying the entire gospel of Luke (and also the Acts of the Apostles) shou…"
wrecked,,"He's the oxygen that pumps blood to my living heart that gives me life.. I'm sorry if you can't understand me, but… https://t.co/eezh8nsrPc"
rescuers,United Kingdom,WOULD YOU SPEAK TO YOUR MP ABOUT US? The best way is to go to a surgery and speak to them in person. Please email natali…
drowned,,"#felstedwar2 #OTD On Jan 14th Capt Richard Dennis (d 1937-1942) Prefect. Son of Bertram &amp; Elizabeth Dennis, of Bourton…"
injury,MISSING,Chiellini : Knee/Calf Rabiot : Adductor Khedira : Knee Demiral : Knee De Ligt : Shoulder/pubis Costa : Thigh Ramsey :…
landslide,,He will win by a landslide. Dems are making it too easy.
typhoon,"NRA, Cebu City, Philippines",Borongan City’s contingent prays for recovery from Typhoon Ursula https://t.co/uqRcOvgDEA
explosion,,"There has been an explosion at a chemical factory in Zhuhai, South China's Guangdong. As of 3:00 pm Tuesday, the fire has not…"
death,Oman,We are deeply saddened by the death of His Majesty Sultan Qaboos bin Said. Our deepest condolences go to the people of Oman.…
sinkhole,United Kingdom,China: At least six dead as huge sinkhole swallows bus and pedestrians https://t.co/325XExPeSe
volcano,,"In terms of monitoring, Taal is the best monitored volcano in the country. Taal Volcano Observatory has the proper equipment…"
blizzard,Ukraine,First Arcanist Thalyssra Fan Art { from weibo } Drawn By Silver Cups 🖌 #Worldofwarcraft #nightborne #Thalyssra #Ar…
mass%20murder,"Georgia, USA",Educate me dude. Obviously you have never lost a loved one in a mass murder. I don't need an education from you &amp;… https://t.co/FayxRKPQOu
wildfire,,"I got to interview the iconic , who raised ONE MILLION DOLLARS for Australian fire relief in this …"
ruin,"Washington, USA","So, ha fuck you. It now branches to chemistry, physics and everything. Why u gotta ruin math for me... why not rece… https://t.co/V0FrQah1hZ"
blight,New York State,"Awful, and barbaric! This is a blight on our nation. Abortion is murder - nothing more to it."
hazardous,"Melbourne, Victoria",This is the view from the roof of our office - usually we can see the MCG but today it's completely obscured by smoke haze…
collapse,"Calbayog City, Eastern Visayas",Till I collapse
destroyed,Malaysia,"we, one its MUST be unstoppable our boys who got that kind of disrespect not from those agencies only but from the whole indu…"
bleeding,Emos unite🕷🕸🌹🎱,mcr stans are those kids in primary school that if they were bleeding they'd just put the cut in their mouth to stop the…
outbreak,Michigan,The Canadian food executive who blamed Trump for the Iran shooting down a plane killing 176 apologized in 2008 for a l…
airplane%20accident,Canada,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000 fee…
weapon,,Devil's Due is such a dope name for a weapon you make out of Deviljho parts
stretcher,"Cedar Hill, TX",YESSSSIR 3 put him on stretcher!!!!!
famine,Abuja,"Imam Darimi narrated that after the Prophet left the world, Madinah faced severe drought and famine. The people of the ci…"
lava,Somewhere in Wisconsin,I guess she's the lava his life. https://t.co/VVqBMh0i4T
mudslide,,Hasenacher Balou Couleur with his successful parents: Glenara Mudslide (top-level showjumper) and Balou du Rouet (inte…
storm,Harta-Tahta-Shochan❣,"20.01.12 Bay Storm Nino talked about how at their after-party, they had a number quiz about 5x20 eg. How many hours did…"
flames,Head Office London UK,They know just trying to fan the… https://t.co/j9umzqlwhg
violent%20storm,Dublin Ireland,A 148 km/h gust at in the past 15 minutes. Violent Storm Force winds are now pushing into the southwest. #sto…
inundation,,The groan was from the inundation of posts saying that fact and him bringing it up again.
thunderstorm,"Wakefield, VA","A THUNDERSTORM WITH HEAVY RAIN WILL AFFECT CENTRAL PASQUOTANK, PERQUIMANS, NORTHEASTERN BERTIE, SOUTHEASTERN HERTFO… https://t.co/6N6QDJPTXq"
earthquake,"New Jersey, USA",Map of felt reports received so far following the #earthquake M4.1 in Puerto Rico Region 41 min ago https://t.co/TruDdNKx3k
traumatised,"Gujarat,India",PTSD is an actual thing like whoaaa nobody wanna address that? Like you're going to stay ignorant that you're traumatised? 🥶
cyclone,,Alvin the lavender fox swam through Rowdy River to stop The Cyclone from destroying the city!
collide,"Vancouver, Canada","The Vow, a modern-day vampire tale where day and night collide. https://t.co/MmtVoqRX3z #darkfantasy #urbanfantasy #vamp…"
detonate,Canada,"🔥🔥🔥 First in Series! 🔥🔥🔥 If he pursues his baby sister’s best friend, the princess with the sultry grey eyes, he’ll… https://t.co/JsXxirJbzZ"
upheaval,UK,Schools should brace for five years of upheaval from a triumphant party with Gove at its heart | Melissa Benn… https://t.co/4hyvKIjMZl
